UGB,Empreendimento,FASE,Etapa,% concluído,Nome da tarefa,Iniciar,Terminar
CA,OLI,INFRA,EXECUÇÃO-ER,0.01,EXECUÇÃO,2025-06-06 08:00:00,2025-08-08 16:59:59
CA,OLI,INFRA,EXECUÇÃO-IP,0.01,EXECUÇÃO,2025-08-08 08:00:00,2025-08-20 16:59:59
CA,OLI,INFRA,PINT-BAR,0.0,PINTURA DOS BARRAMENTOS E IMPLANTAÇÃO DAS PLACAS DOS TRANSFORMADORES,2025-12-10 08:00:00,2025-12-16 16:59:59
CA,OLI,LEG.,APROV-ER-(NEO),0.01,APROVAÇÃO DO PROJETO DE ER (NEOENERGIA) - 9201360974,2024-11-25 08:00:00,2025-02-10 16:59:59
CA,OLI,LEG.,SOLIC-CONEXÃO,0.01,SOLICITAÇÃO ABERTURA DE NOTAS POR E-MAIL,2025-02-25 08:00:00,2025-02-27 16:59:59
CA,OLI,LEG.,CONEXÃO,0.0022,CONEXÃO - NOTA Nº 9101455210,2025-04-02 08:00:00,2025-12-23 16:59:59
CA,OLI,LEG.,INCORPORAÇÃO,0.0004,INCORPORAÇÃO,2025-08-11 08:00:00,2025-12-09 16:59:59
CA,OLI,LEG.,COMISSIONAMENTO,0.0,COMISSIONAMENTO,2025-12-17 08:00:00,2026-02-05 16:59:59
CA,OLI,LEG.,CARTA,0.0,CARTA DE ENTREGA,2026-02-06 08:00:00,2026-03-16 16:59:59
CA,OLI,LEG.,APROV-IP-(NEO),0.01,APROVAÇÃO DO PROJETO DE IP (NEOENERGIA) - 9201345807,2024-11-27 08:00:00,2025-02-13 16:59:59
CA,OLI,LEG.,LIG-IP,0.0,LIGAÇÃO DA IP,2026-02-06 08:00:00,2026-02-16 16:59:59
CA,OLI,PROD.,ENTREGA,0.0,VIABILIDADE DE ENTREGA,2026-03-16 16:59:59,2026-03-16 16:59:59
CA,AMO-F1,ENG.PROD,PL-ER-E-IP,0.006,PL - ELE - ER COND,2024-12-10 08:00:00,2025-06-05 16:59:59
